"","origin","year","n"
"1","pdx","1516",23046
"2","oregon","1516",7814
"3","WA","1516",3704
"4","bay_area","1516",3204
"5","LA","1516",3085
"6","puget_sound","1516",2335
"7","CA","1516",2195
"8","AZ","1516",1261
"9","TX","1516",1135
"10","NY","1516",843
"11","CO","1516",744
"12","IL","1516",666
"13","NV","1516",634
"14","HI","1516",540
"15","FL","1516",504
"16","UT","1516",435
"17","MA","1516",405
"18","ID","1516",390
"19","MN","1516",247
"20","NM","1516",228
"21","AK","1516",216
"22","PA","1516",209
"23","NC","1516",204
"24","MI","1516",191
"25","OH","1516",184
"26","GA","1516",177
"27","MT","1516",176
"28","WI","1516",159
"29","VA","1516",144
"30","TN","1516",130
"31","DC","1516",129
"32","MD","1516",122
"33","MO","1516",119
"34","CT","1516",73
"35","NE","1516",66
"36","IN","1516",65
"37","OK","1516",60
"38","VT","1516",40
"39","pdx","1415",21368
"40","oregon","1415",6679
"41","WA","1415",1487
"42","bay_area","1415",1788
"43","LA","1415",2327
"44","puget_sound","1415",2223
"45","CA","1415",1469
"46","AZ","1415",957
"47","TX","1415",755
"48","NY","1415",443
"49","CO","1415",330
"50","IL","1415",346
"51","NV","1415",501
"52","HI","1415",421
"53","FL","1415",227
"54","UT","1415",302
"55","MA","1415",210
"56","ID","1415",278
"57","MN","1415",131
"58","NM","1415",143
"59","AK","1415",242
"60","PA","1415",67
"61","NC","1415",44
"62","MI","1415",49
"63","OH","1415",124
"64","GA","1415",72
"65","MT","1415",34
"66","WI","1415",71
"67","VA","1415",69
"68","TN","1415",36
"69","DC","1415",77
"70","MD","1415",31
"71","MO","1415",56
"72","CT","1415",47
"73","NE","1415",25
"74","IN","1415",26
"75","OK","1415",20
"76","VT","1415",22
"77","pdx","1314",26883
"78","oregon","1314",8401
"79","WA","1314",2083
"80","bay_area","1314",2193
"81","LA","1314",2752
"82","puget_sound","1314",3052
"83","CA","1314",1947
"84","AZ","1314",1430
"85","TX","1314",768
"86","NY","1314",590
"87","CO","1314",599
"88","IL","1314",556
"89","NV","1314",710
"90","HI","1314",509
"91","FL","1314",326
"92","UT","1314",489
"93","MA","1314",313
"94","ID","1314",478
"95","MN","1314",164
"96","NM","1314",270
"97","AK","1314",300
"98","PA","1314",112
"99","NC","1314",119
"100","MI","1314",167
"101","OH","1314",140
"102","GA","1314",149
"103","MT","1314",97
"104","WI","1314",133
"105","VA","1314",136
"106","TN","1314",54
"107","DC","1314",112
"108","MD","1314",111
"109","MO","1314",117
"110","CT","1314",46
"111","NE","1314",31
"112","IN","1314",63
"113","OK","1314",22
"114","VT","1314",25
"115","pdx","1213",28326
"116","oregon","1213",9562
"117","WA","1213",2600
"118","bay_area","1213",2197
"119","LA","1213",2610
"120","puget_sound","1213",3185
"121","CA","1213",2255
"122","AZ","1213",1655
"123","TX","1213",1153
"124","NY","1213",733
"125","CO","1213",808
"126","IL","1213",536
"127","NV","1213",746
"128","HI","1213",585
"129","FL","1213",721
"130","UT","1213",536
"131","MA","1213",334
"132","ID","1213",565
"133","MN","1213",272
"134","NM","1213",302
"135","AK","1213",439
"136","PA","1213",213
"137","NC","1213",186
"138","MI","1213",245
"139","OH","1213",178
"140","GA","1213",205
"141","MT","1213",322
"142","WI","1213",159
"143","VA","1213",225
"144","TN","1213",113
"145","DC","1213",131
"146","MD","1213",141
"147","MO","1213",161
"148","CT","1213",87
"149","NE","1213",95
"150","IN","1213",107
"151","OK","1213",93
"152","VT","1213",26
"153","pdx","1112",26544
"154","oregon","1112",9174
"155","WA","1112",2515
"156","bay_area","1112",1920
"157","LA","1112",2368
"158","puget_sound","1112",3290
"159","CA","1112",2056
"160","AZ","1112",1353
"161","TX","1112",958
"162","NY","1112",592
"163","CO","1112",747
"164","IL","1112",511
"165","NV","1112",741
"166","HI","1112",521
"167","FL","1112",771
"168","UT","1112",484
"169","MA","1112",285
"170","ID","1112",524
"171","MN","1112",244
"172","NM","1112",212
"173","AK","1112",342
"174","PA","1112",207
"175","NC","1112",175
"176","MI","1112",168
"177","OH","1112",198
"178","GA","1112",253
"179","MT","1112",300
"180","WI","1112",121
"181","VA","1112",170
"182","TN","1112",93
"183","DC","1112",105
"184","MD","1112",153
"185","MO","1112",180
"186","CT","1112",71
"187","NE","1112",35
"188","IN","1112",111
"189","OK","1112",93
"190","VT","1112",39
"191","pdx","1011",20633
"192","oregon","1011",162060
"193","WA","1011",1052
"194","bay_area","1011",1529
"195","LA","1011",1761
"196","puget_sound","1011",2039
"197","CA","1011",1615
"198","AZ","1011",1032
"199","TX","1011",609
"200","NY","1011",555
"201","CO","1011",506
"202","IL","1011",438
"203","NV","1011",525
"204","HI","1011",380
"205","FL","1011",389
"206","UT","1011",355
"207","MA","1011",240
"208","ID","1011",435
"209","MN","1011",207
"210","NM","1011",138
"211","AK","1011",197
"212","PA","1011",199
"213","NC","1011",140
"214","MI","1011",227
"215","OH","1011",214
"216","GA","1011",168
"217","MT","1011",267
"218","WI","1011",181
"219","VA","1011",155
"220","TN","1011",102
"221","DC","1011",74
"222","MD","1011",101
"223","MO","1011",144
"224","CT","1011",51
"225","NE","1011",68
"226","IN","1011",90
"227","OK","1011",51
"228","VT","1011",40
"229","pdx","0910",21502
"230","oregon","0910",156042
"231","WA","0910",899
"232","bay_area","0910",1428
"233","LA","0910",1723
"234","puget_sound","0910",1791
"235","CA","0910",1400
"236","AZ","0910",861
"237","TX","0910",458
"238","NY","0910",543
"239","CO","0910",352
"240","IL","0910",333
"241","NV","0910",473
"242","HI","0910",337
"243","FL","0910",292
"244","UT","0910",368
"245","MA","0910",251
"246","ID","0910",346
"247","MN","0910",229
"248","NM","0910",137
"249","AK","0910",207
"250","PA","0910",181
"251","NC","0910",105
"252","MI","0910",203
"253","OH","0910",169
"254","GA","0910",124
"255","MT","0910",202
"256","WI","0910",95
"257","VA","0910",126
"258","TN","0910",58
"259","DC","0910",58
"260","MD","0910",97
"261","MO","0910",106
"262","CT","0910",65
"263","NE","0910",38
"264","IN","0910",69
"265","OK","0910",49
"266","VT","0910",26
"267","pdx","0809",20841
"268","oregon","0809",169500
"269","WA","0809",1080
"270","bay_area","0809",1772
"271","LA","0809",2102
"272","puget_sound","0809",2015
"273","CA","0809",1740
"274","AZ","0809",1115
"275","TX","0809",685
"276","NY","0809",594
"277","CO","0809",593
"278","IL","0809",446
"279","NV","0809",565
"280","HI","0809",433
"281","FL","0809",443
"282","UT","0809",386
"283","MA","0809",294
"284","ID","0809",463
"285","MN","0809",229
"286","NM","0809",175
"287","AK","0809",276
"288","PA","0809",220
"289","NC","0809",170
"290","MI","0809",285
"291","OH","0809",222
"292","GA","0809",151
"293","MT","0809",285
"294","WI","0809",183
"295","VA","0809",193
"296","TN","0809",83
"297","DC","0809",94
"298","MD","0809",161
"299","MO","0809",143
"300","CT","0809",71
"301","NE","0809",57
"302","IN","0809",115
"303","OK","0809",76
"304","VT","0809",39
